date,cash_rate,inflation,output,unemployment,wages
2000-03-31,5.325396825396827,0.7,0.3,6.536282566666666,0.5602240896358524
2000-06-30,5.8996163682864475,0.6,1.1,6.247423566666666,0.9749303621169992
2000-09-30,6.16304347826087,0.5,0.1,6.0401104,0.8275862068965356
2000-12-31,6.25,0.6,-0.3,6.1389032666666665,0.9575923392612928
2001-03-31,5.881818181818183,1.0,0.9,6.401236233333333,0.9485094850948615
2001-06-30,5.01851851851852,0.8,0.7,6.816897,0.9395973154362468
2001-09-30,4.925,0.7,1.1,6.941163666666667,0.6648936170212671
2001-12-31,4.43268497330282,0.8,1.4,6.9246634333333335,0.7926023778071167
2002-03-31,4.25,0.8,0.7,6.636709866666667,0.7863695937090576
2002-06-30,4.473112128146454,0.6,2.1,6.361732566666667,0.7802340702210531
2002-09-30,4.75,0.7,0.6,6.2868779,0.903225806451613
2002-12-31,4.75,0.7,1.2,6.1792907,0.8951406649616356
2003-03-31,4.75,0.8,0.5,6.0765727,1.0139416983523386
2003-06-30,4.75,0.5,0.4,6.0719176333333325,0.7528230865746499
2003-09-30,4.75,0.7,1.2,5.914575766666666,0.8717310087173136
2003-12-31,4.98373015873016,0.7,1.4,5.689938233333334,0.9876543209876408
2004-03-31,5.25,0.7,0.5,5.536869299999999,0.8557457212714059
2004-06-30,5.25,0.6,0.8,5.454365733333333,0.848484848484854
2004-09-30,5.25,0.6,0.8,5.394850099999999,0.8413461538461675
2004-12-31,5.25,0.8,0.8,5.199060666666667,1.0727056019070202
2005-03-31,5.32936507936508,0.6,0.8,5.102696133333333,1.0613207547169878
2005-06-30,5.5,0.6,0.3,5.0490043,1.0501750291715295
2005-09-30,5.5,0.6,1.2,4.968141966666667,0.9237875288683696
2005-12-31,5.5,0.7,0.7,5.0317832,0.9153318077803174
2006-03-31,5.5,0.8,0.1,5.0129339,1.133786848072571
2006-06-30,5.659420289855073,0.8,0.4,4.820178633333334,1.0089686098654571
2006-09-30,5.91304347826087,0.7,1.7,4.6636109333333335,0.8879023307436285
2006-12-31,6.147727272727273,0.6,1.5,4.561588566666667,1.1001100110010986
2007-03-31,6.25,0.6,1.3,4.487347566666666,0.9793253536452662
2007-06-30,6.25,0.9,0.7,4.347436066666667,1.0775862068965525
2007-09-30,6.40151515151515,0.9,1.2,4.271019233333333,1.0660980810234475
2007-12-31,6.651003545241483,1.2,0.3,4.248511766666667,0.8438818565400741
2008-03-31,6.979274777672551,1.1,0.8,4.174674366666666,1.0460251046025215
2008-06-30,7.249891383247401,1.2,0.2,4.172992766666667,1.138716356107672
2008-09-30,7.174248683976007,1.2,0.5,4.238294866666666,1.1258955987717425
2008-12-31,5.284080895119153,0.7,-0.5,4.570711766666666,0.9109311740890692
2009-03-31,3.6166597051997567,0.9,1.1,5.210620233333334,0.9027081243731194
2009-06-30,3.0208776172511698,0.7,0.8,5.689211566666667,0.7952286282306265
2009-09-30,3.0,0.7,0.2,5.735964466666666,0.3944773175542426
2009-12-31,3.4761904761904767,0.8,0.8,5.554438033333334,0.7858546168958647
2010-03-31,3.825833333333333,0.8,0.6,5.402567633333334,0.974658869395717
2010-06-30,4.399166666666667,0.4,0.6,5.282580566666667,0.7722007722007929
2010-09-30,4.5,0.6,0.7,5.158282799999999,1.0536398467432928
2010-12-31,4.659166666666667,0.4,0.8,5.0710878,1.0426540284360186
2011-03-31,4.75,0.8,-0.2,4.995323433333334,0.9380863039399668
2011-06-30,4.75,0.8,1.2,5.016424233333333,0.743494423791824
2011-09-30,4.75,0.4,1.4,5.1764977,0.830258302583009
2011-12-31,4.520833333333333,0.6,1.2,5.2490003666666665,1.0064043915828158
2012-03-31,4.25,0.4,1.0,5.154789833333333,0.9963768115941908
2012-06-30,3.8533333333333335,0.5,0.8,5.170671633333334,0.8968609865470878
2012-09-30,3.5,0.7,0.7,5.276607533333333,0.8000000000000007
2012-12-31,3.1833333333333336,0.5,0.5,5.3569713000000005,0.7054673721340388
2013-03-31,3.0,0.5,0.5,5.4962917000000004,0.7005253940455258
2013-06-30,2.85,0.6,0.3,5.641152299999999,0.6086956521739184
2013-09-30,2.6,0.7,1.0,5.7290927,0.6050129645635227
2013-12-31,2.5,0.8,0.7,5.8308059000000005,0.6872852233676952
2014-03-31,2.5,0.5,0.9,5.8408851,0.7679180887371961
2014-06-30,2.5,0.7,0.5,5.929294933333334,0.5080440304826572
2014-09-30,2.5,0.4,0.4,6.178602000000001,0.5897219882055715
2014-12-31,2.5,0.6,0.3,6.2845857333333335,0.5862646566163976
2015-03-31,2.3433333333333333,0.6,0.9,6.190538366666666,0.5828476269775118
2015-06-30,2.0966666666666667,0.6,0.1,6.097386233333334,0.4966887417218624
2015-09-30,2.0,0.3,1.2,6.0311761,0.5766062602965416
2015-12-31,2.0,0.6,0.7,5.873996066666667,0.4914004914005065
2016-03-31,2.0,0.2,1.0,5.7317718,0.4889975550122161
2016-06-30,1.8399999999999999,0.5,0.5,5.6605904,0.4866180048661794
2016-09-30,1.5899999999999999,0.3,0.0,5.6443465,0.4035512510088823
2016-12-31,1.5,0.4,1.0,5.734076300000001,0.4823151125401992
2017-03-31,1.5,0.5,0.2,5.7918262,0.5600000000000049
2017-06-30,1.5,0.5,0.8,5.668803866666667,0.4773269689737347
2017-09-30,1.5,0.4,0.9,5.533331466666667,0.4750593824228044
2017-12-31,1.5,0.4,0.7,5.502165933333334,0.5516154452324562
2018-03-31,1.5,0.5,0.9,5.525503533333333,0.4702194357366629
2018-06-30,1.5,0.4,0.6,5.4377654,0.6240249609984483
2018-09-30,1.5,0.4,0.5,5.242715733333333,0.6201550387596955
2018-12-31,1.5,0.5,0.5,5.066322666666667,0.5392912172573094
2019-03-31,1.5,0.3,0.8,5.0519212,0.5363984674329414
2019-06-30,1.4266666666666667,0.4,0.4,5.178853566666667,0.6097560975609762
2019-09-30,1.0066666666666666,0.4,0.6,5.2542124333333335,0.5303030303030143
2019-12-31,0.7533333333333333,0.4,0.6,5.185472833333333,0.5275056518462717
2020-03-31,0.6433333333333333,0.5,-0.1,5.211647433333333,0.524737631184391
2020-06-30,0.25,0.0,-6.8,6.823030333333333,0.2237136465324418
2020-09-30,0.25,0.3,3.5,6.8913980666666665,0.0744047619047671
2020-12-31,0.15333333333333335,0.5,2.8,6.6048298999999995,0.5204460966542701
2021-03-31,0.10000000000000002,0.3,2.3,5.925995133333333,0.6656804733727872
2021-06-30,0.10000000000000002,0.5,0.6,5.2535621,0.5143277002204405
2021-09-30,0.10000000000000002,0.8,-1.9,4.752459433333333,0.5116959064327409
2021-12-31,0.10000000000000002,1.0,3.6,4.4921173,0.6545454545454632
2022-03-31,0.10000000000000002,1.5,1.4,4.012122333333333,0.6502890173410547
2022-06-30,0.3866666666666667,1.5,0.9,3.7535410000000002,0.7896625987078298
2022-09-30,1.78,1.9,0.5,3.521255,0.9971509971510084
2022-12-31,2.823333333333333,1.7,0.6,3.5184632666666666,0.8462623413258097
2023-03-31,3.31,1.2,0.3,3.574598433333333,0.9790209790209836
2023-06-30,3.8266666666666667,0.9,0.4,3.6033994000000003,0.8310249307479145
2023-09-30,4.1,1.2,0.5,3.6862823,1.3049450549450503
2023-12-31,4.246666666666666,0.9,0.1,3.8398402666666667,1.0847457627118695
2024-03-31,4.35,1.0,0.4,3.9454413,0.7377598926894713
2024-06-30,4.35,0.9,0.3,4.0264953,0.8655126498002819
2024-09-30,4.35,0.8,0.3,4.0777052000000005,0.8580858085808662
2024-12-31,4.35,0.5,0.2,4.033979133333333,0.7198952879581055
