date,wages
1997-12-01,0.9009009009009139
1998-03-01,0.8928571428571397
1998-06-01,0.7374631268436627
1998-09-01,0.7320644216691097
1998-12-01,0.7267441860465018
1999-03-01,0.8658008658008809
1999-06-01,0.7153075822603716
1999-09-01,0.7102272727272707
1999-12-01,0.7052186177715081
2000-03-01,0.5602240896358524
2000-06-01,0.9749303621169991
2000-09-01,0.8275862068965356
2000-12-01,0.9575923392612928
2001-03-01,0.9485094850948617
2001-06-01,0.9395973154362469
2001-09-01,0.6648936170212671
2001-12-01,0.7926023778071167
2002-03-01,0.7863695937090576
2002-06-01,0.7802340702210531
2002-09-01,0.903225806451613
2002-12-01,0.8951406649616356
2003-03-01,1.0139416983523386
2003-06-01,0.7528230865746499
2003-09-01,0.8717310087173136
2003-12-01,0.9876543209876409
2004-03-01,0.8557457212714059
2004-06-01,0.848484848484854
2004-09-01,0.8413461538461675
2004-12-01,1.0727056019070202
2005-03-01,1.0613207547169878
2005-06-01,1.0501750291715295
2005-09-01,0.9237875288683695
2005-12-01,0.9153318077803174
2006-03-01,1.133786848072571
2006-06-01,1.0089686098654571
2006-09-01,0.8879023307436285
2006-12-01,1.1001100110010986
2007-03-01,0.9793253536452662
2007-06-01,1.0775862068965525
2007-09-01,1.0660980810234477
2007-12-01,0.8438818565400741
2008-03-01,1.0460251046025215
2008-06-01,1.1387163561076719
2008-09-01,1.1258955987717423
2008-12-01,0.9109311740890691
2009-03-01,0.9027081243731194
2009-06-01,0.7952286282306265
2009-09-01,0.39447731755424265
2009-12-01,0.7858546168958647
2010-03-01,0.974658869395717
2010-06-01,0.7722007722007929
2010-09-01,1.0536398467432928
2010-12-01,1.0426540284360186
2011-03-01,0.9380863039399667
2011-06-01,0.743494423791824
2011-09-01,0.830258302583009
2011-12-01,1.0064043915828158
2012-03-01,0.9963768115941907
2012-06-01,0.8968609865470878
2012-09-01,0.8000000000000007
2012-12-01,0.7054673721340388
2013-03-01,0.7005253940455258
2013-06-01,0.6086956521739184
2013-09-01,0.6050129645635227
2013-12-01,0.6872852233676952
2014-03-01,0.7679180887371961
2014-06-01,0.5080440304826572
2014-09-01,0.5897219882055715
2014-12-01,0.5862646566163976
2015-03-01,0.5828476269775118
2015-06-01,0.4966887417218624
2015-09-01,0.5766062602965416
2015-12-01,0.49140049140050657
2016-03-01,0.4889975550122161
2016-06-01,0.48661800486617945
2016-09-01,0.40355125100888234
2016-12-01,0.4823151125401992
2017-03-01,0.5600000000000049
2017-06-01,0.4773269689737347
2017-09-01,0.47505938242280443
2017-12-01,0.5516154452324562
2018-03-01,0.4702194357366629
2018-06-01,0.6240249609984483
2018-09-01,0.6201550387596955
2018-12-01,0.5392912172573094
2019-03-01,0.5363984674329414
2019-06-01,0.6097560975609762
2019-09-01,0.5303030303030143
2019-12-01,0.5275056518462717
2020-03-01,0.524737631184391
2020-06-01,0.22371364653244186
2020-09-01,0.07440476190476719
2020-12-01,0.5204460966542701
2021-03-01,0.6656804733727872
2021-06-01,0.5143277002204405
2021-09-01,0.5116959064327409
2021-12-01,0.6545454545454632
2022-03-01,0.6502890173410547
2022-06-01,0.7896625987078298
2022-09-01,0.9971509971510084
2022-12-01,0.8462623413258097
2023-03-01,0.9790209790209836
2023-06-01,0.8310249307479145
2023-09-01,1.3049450549450503
2023-12-01,1.0847457627118695
2024-03-01,0.7377598926894713
2024-06-01,0.8655126498002819
2024-09-01,0.8580858085808662
2024-12-01,0.7198952879581055
2025-03-01,0.9096816114360085
2025-06-01,0.9014810045073984
2025-09-01,0.7657945118060061
2025-12-01,0.8233058898036605
